Channel,Count,Energy (keV)
124,146,-1072.1744277821629
125,149,-1071.8729281767958
126,139,-1071.571428571429
127,160,-1071.2699289660618
128,149,-1070.9684293606947
129,129,-1070.6669297553278
130,150,-1070.3654301499607
131,151,-1070.0639305445939
132,140,-1069.7624309392268
133,132,-1069.4609313338597
134,155,-1069.1594317284928
135,136,-1068.8579321231257
136,135,-1068.5564325177588
137,162,-1068.2549329123917
138,142,-1067.9534333070246
139,134,-1067.6519337016578
140,140,-1067.3504340962907
141,162,-1067.0489344909238
142,147,-1066.7474348855567
143,145,-1066.4459352801896
144,168,-1066.1444356748227
145,164,-1065.8429360694556
146,137,-1065.5414364640887
147,140,-1065.2399368587216
148,137,-1064.9384372533546
149,159,-1064.6369376479877
150,145,-1064.3354380426206
151,161,-1064.0339384372537
152,156,-1063.7324388318866
153,146,-1063.4309392265195
154,139,-1063.1294396211526
155,155,-1062.8279400157855
156,168,-1062.5264404104187
157,143,-1062.2249408050516
158,144,-1061.9234411996845
159,140,-1061.6219415943176
160,161,-1061.3204419889505
161,152,-1061.0189423835836
162,173,-1060.7174427782165
163,157,-1060.4159431728494
164,153,-1060.1144435674826
165,132,-1059.8129439621155
166,165,-1059.5114443567486
167,149,-1059.2099447513815
168,149,-1058.9084451460144
169,170,-1058.6069455406475
170,180,-1058.3054459352804
171,156,-1058.0039463299133
172,145,-1057.7024467245465
173,137,-1057.4009471191794
174,153,-1057.0994475138125
175,163,-1056.7979479084454
176,160,-1056.4964483030783
177,143,-1056.1949486977114
178,145,-1055.8934490923443
179,143,-1055.5919494869775
180,165,-1055.2904498816104
181,158,-1054.9889502762433
182,152,-1054.6874506708764
183,151,-1054.3859510655093
184,180,-1054.0844514601424
185,140,-1053.7829518547753
186,160,-1053.4814522494082
187,151,-1053.1799526440414
188,142,-1052.8784530386743
189,155,-1052.5769534333074
190,165,-1052.2754538279403
191,136,-1051.9739542225732
192,162,-1051.6724546172063
193,180,-1051.3709550118392
194,161,-1051.0694554064723
195,163,-1050.7679558011052
196,177,-1050.4664561957381
197,168,-1050.1649565903713
198,156,-1049.8634569850042
199,149,-1049.561957379637
200,150,-1049.2604577742702
201,171,-1048.958958168903
202,146,-1048.6574585635362
203,148,-1048.3559589581691
204,138,-1048.054459352802
205,132,-1047.7529597474352
206,151,-1047.451460142068
207,159,-1047.1499605367012
208,169,-1046.848460931334
209,158,-1046.546961325967
210,162,-1046.2454617206001
211,122,-1045.943962115233
212,157,-1045.6424625098662
213,147,-1045.340962904499
214,165,-1045.039463299132
215,158,-1044.737963693765
216,157,-1044.436464088398
217,164,-1044.1349644830311
218,150,-1043.833464877664
219,154,-1043.531965272297
220,157,-1043.23046566693
221,178,-1042.928966061563
222,152,-1042.627466456196
223,139,-1042.325966850829
224,176,-1042.024467245462
225,159,-1041.722967640095
226,165,-1041.421468034728
227,132,-1041.119968429361
228,176,-1040.818468823994
229,175,-1040.5169692186269
230,153,-1040.21546961326
231,136,-1039.9139700078929
232,130,-1039.612470402526
233,156,-1039.310970797159
234,170,-1039.0094711917918
235,144,-1038.707971586425
236,158,-1038.4064719810578
237,174,-1038.104972375691
238,152,-1037.8034727703239
239,170,-1037.5019731649568
240,162,-1037.20047355959
241,157,-1036.8989739542228
242,159,-1036.597474348856
243,166,-1036.2959747434888
244,153,-1035.9944751381217
245,151,-1035.6929755327549
246,153,-1035.3914759273878
247,157,-1035.0899763220207
248,168,-1034.7884767166538
249,156,-1034.4869771112867
250,181,-1034.1854775059198
251,160,-1033.8839779005527
252,151,-1033.5824782951856
253,157,-1033.2809786898188
254,143,-1032.9794790844517
255,174,-1032.6779794790848
256,161,-1032.3764798737177
257,142,-1032.0749802683506
258,173,-1031.7734806629837
259,177,-1031.4719810576166
260,164,-1031.1704814522498
261,146,-1030.8689818468827
262,133,-1030.5674822415156
263,147,-1030.2659826361487
264,176,-1029.9644830307816
265,160,-1029.6629834254147
266,187,-1029.3614838200476
267,157,-1029.0599842146805
268,145,-1028.7584846093137
269,139,-1028.4569850039466
270,166,-1028.1554853985795
271,178,-1027.8539857932126
272,152,-1027.5524861878455
273,154,-1027.2509865824786
274,152,-1026.9494869771115
275,158,-1026.6479873717444
276,173,-1026.3464877663775
277,169,-1026.0449881610105
278,159,-1025.7434885556436
279,162,-1025.4419889502765
280,147,-1025.1404893449094
281,177,-1024.8389897395425
282,166,-1024.5374901341754
283,142,-1024.2359905288085
284,163,-1023.9344909234414
285,155,-1023.6329913180745
286,175,-1023.3314917127075
287,159,-1023.0299921073404
288,180,-1022.7284925019734
289,134,-1022.4269928966064
290,152,-1022.1254932912394
291,144,-1021.8239936858724
292,170,-1021.5224940805053
293,182,-1021.2209944751384
294,139,-1020.9194948697714
295,165,-1020.6179952644044
296,155,-1020.3164956590374
297,151,-1020.0149960536703
298,173,-1019.7134964483033
299,164,-1019.4119968429363
300,173,-1019.1104972375693
301,163,-1018.8089976322024
302,157,-1018.5074980268353
303,165,-1018.2059984214683
304,161,-1017.9044988161013
305,169,-1017.6029992107343
306,189,-1017.3014996053673
307,173,-1017.0000000000002
308,200,-1016.6985003946332
309,162,-1016.3970007892663
310,151,-1016.0955011838993
311,162,-1015.7940015785322
312,197,-1015.4925019731652
313,170,-1015.1910023677982
314,156,-1014.8895027624312
315,170,-1014.5880031570641
316,177,-1014.2865035516971
317,166,-1013.9850039463302
318,178,-1013.6835043409632
319,170,-1013.3820047355962
320,178,-1013.0805051302291
321,194,-1012.7790055248621
322,178,-1012.4775059194951
323,183,-1012.1760063141281
324,170,-1011.8745067087611
325,171,-1011.573007103394
326,177,-1011.2715074980271
327,180,-1010.9700078926601
328,159,-1010.6685082872931
329,182,-1010.3670086819261
330,162,-1010.065509076559
331,159,-1009.764009471192
332,163,-1009.462509865825
333,151,-1009.161010260458
334,160,-1008.8595106550911
335,166,-1008.558011049724
336,182,-1008.256511444357
337,183,-1007.95501183899
338,150,-1007.653512233623
339,173,-1007.352012628256
340,149,-1007.0505130228889
341,181,-1006.749013417522
342,166,-1006.447513812155
343,169,-1006.146014206788
344,182,-1005.844514601421
345,174,-1005.5430149960539
346,159,-1005.2415153906869
347,179,-1004.9400157853199
348,171,-1004.638516179953
349,164,-1004.3370165745858
350,147,-1004.0355169692189
351,160,-1003.7340173638519
352,175,-1003.4325177584849
353,163,-1003.1310181531178
354,176,-1002.8295185477508
355,187,-1002.5280189423838
356,171,-1002.2265193370168
357,173,-1001.9250197316499
358,163,-1001.6235201262828
359,180,-1001.3220205209158
360,155,-1001.0205209155488
361,163,-1000.7190213101818
362,165,-1000.4175217048148
363,183,-1000.1160220994477
364,189,-999.8145224940807
365,194,-999.5130228887137
366,159,-999.2115232833468
367,185,-998.9100236779798
368,179,-998.6085240726127
369,142,-998.3070244672457
370,156,-998.0055248618787
371,186,-997.7040252565117
372,151,-997.4025256511447
373,189,-997.1010260457776
374,167,-996.7995264404107
375,174,-996.4980268350437
376,197,-996.1965272296767
377,183,-995.8950276243097
378,180,-995.5935280189426
379,159,-995.2920284135756
380,169,-994.9905288082086
381,194,-994.6890292028417
382,170,-994.3875295974746
383,178,-994.0860299921076
384,182,-993.7845303867406
385,167,-993.4830307813736
386,170,-993.1815311760066
387,173,-992.8800315706395
388,187,-992.5785319652725
389,154,-992.2770323599055
390,182,-991.9755327545386
391,160,-991.6740331491715
392,178,-991.3725335438045
393,173,-991.0710339384375
394,186,-990.7695343330705
395,172,-990.4680347277035
396,171,-990.1665351223364
397,182,-989.8650355169694
398,169,-989.5635359116025
399,166,-989.2620363062355
400,179,-988.9605367008685
401,175,-988.6590370955014
402,165,-988.3575374901344
403,184,-988.0560378847674
404,173,-987.7545382794004
405,197,-987.4530386740335
406,185,-987.1515390686664
407,161,-986.8500394632994
408,152,-986.5485398579324
409,151,-986.2470402525654
410,191,-985.9455406471984
411,183,-985.6440410418313
412,175,-985.3425414364643
413,165,-985.0410418310973
414,152,-984.7395422257304
415,180,-984.4380426203634
416,181,-984.1365430149963
417,171,-983.8350434096293
418,171,-983.5335438042623
419,158,-983.2320441988953
420,150,-982.9305445935282
421,161,-982.6290449881612
422,180,-982.3275453827943
423,172,-982.0260457774273
424,164,-981.7245461720602
425,171,-981.4230465666932
426,178,-981.1215469613262
427,167,-980.8200473559592
428,191,-980.5185477505922
429,182,-980.2170481452251
430,167,-979.9155485398582
431,182,-979.6140489344912
432,190,-979.3125493291242
433,166,-979.0110497237572
434,174,-978.7095501183901
435,203,-978.4080505130231
436,176,-978.1065509076561
437,169,-977.8050513022891
438,176,-977.5035516969222
439,189,-977.2020520915551
440,166,-976.9005524861881
441,176,-976.5990528808211
442,183,-976.2975532754541
443,186,-975.9960536700871
444,156,-975.69455406472
445,184,-975.393054459353
446,178,-975.091554853986
447,162,-974.7900552486191
448,154,-974.4885556432521
449,186,-974.187056037885
450,173,-973.885556432518
451,178,-973.584056827151
452,188,-973.282557221784
453,172,-972.981057616417
454,178,-972.67955801105
455,174,-972.378058405683
456,169,-972.076558800316
457,181,-971.7750591949489
458,192,-971.473559589582
459,157,-971.1720599842149
460,206,-970.8705603788479
461,170,-970.5690607734809
462,171,-970.2675611681138
463,171,-969.9660615627469
464,185,-969.6645619573799
465,159,-969.3630623520129
466,174,-969.0615627466459
467,183,-968.7600631412788
468,152,-968.4585635359118
469,172,-968.1570639305448
470,185,-967.8555643251779
471,177,-967.5540647198109
472,160,-967.2525651144438
473,169,-966.9510655090768
474,194,-966.6495659037098
475,165,-966.3480662983428
