Time,Count,Energy (keV)
259,440,-774.196206
260,417,-773.909204
261,450,-773.622202
262,390,-773.3352
263,412,-773.048198
264,450,-772.761196
265,422,-772.474194
266,445,-772.187192
267,457,-771.90019
268,442,-771.613188
269,466,-771.326186
270,423,-771.039184
271,418,-770.752182
272,459,-770.46518
273,444,-770.178178
274,423,-769.891176
275,408,-769.604174
276,445,-769.317172
277,442,-769.03017
278,428,-768.743168
279,503,-768.4561659999999
280,461,-768.169164
281,476,-767.882162
282,470,-767.59516
283,483,-767.308158
284,466,-767.021156
285,467,-766.734154
286,485,-766.447152
287,462,-766.1601499999999
288,432,-765.873148
289,461,-765.586146
290,458,-765.299144
291,463,-765.012142
292,497,-764.72514
293,489,-764.438138
294,505,-764.151136
295,457,-763.864134
296,470,-763.577132
297,515,-763.29013
298,467,-763.003128
299,538,-762.716126
300,519,-762.429124
301,491,-762.142122
302,524,-761.8551199999999
303,499,-761.568118
304,526,-761.281116
305,507,-760.994114
306,504,-760.707112
307,482,-760.42011
308,524,-760.133108
309,528,-759.846106
310,513,-759.5591039999999
311,492,-759.272102
312,488,-758.9851
313,476,-758.698098
314,518,-758.411096
315,478,-758.124094
316,519,-757.837092
317,527,-757.55009
318,508,-757.263088
319,537,-756.976086
320,553,-756.689084
321,547,-756.402082
322,513,-756.11508
323,572,-755.828078
324,548,-755.541076
325,526,-755.254074
326,537,-754.967072
327,559,-754.68007
328,560,-754.393068
329,525,-754.106066
330,569,-753.819064
331,543,-753.532062
332,535,-753.24506
333,546,-752.9580579999999
334,550,-752.671056
335,552,-752.384054
336,512,-752.097052
337,579,-751.81005
338,559,-751.523048
339,572,-751.236046
340,575,-750.949044
341,561,-750.662042
342,612,-750.37504
343,594,-750.088038
344,610,-749.801036
345,557,-749.514034
346,554,-749.227032
347,569,-748.94003
348,586,-748.653028
349,564,-748.366026
350,593,-748.079024
351,589,-747.792022
352,605,-747.5050200000001
353,571,-747.218018
354,588,-746.931016
355,631,-746.644014
356,596,-746.3570119999999
357,621,-746.07001
358,592,-745.783008
359,616,-745.496006
360,571,-745.209004
361,596,-744.922002
362,614,-744.635
363,604,-744.347998
364,595,-744.0609959999999
365,595,-743.773994
366,613,-743.486992
367,605,-743.19999
368,600,-742.912988
369,610,-742.625986
370,614,-742.338984
371,602,-742.051982
372,580,-741.76498
373,615,-741.477978
374,639,-741.190976
375,630,-740.903974
376,586,-740.616972
377,620,-740.32997
378,617,-740.042968
379,619,-739.755966
380,635,-739.468964
381,635,-739.181962
382,581,-738.89496
383,646,-738.607958
384,575,-738.320956
385,614,-738.033954
386,612,-737.746952
387,591,-737.4599499999999
388,629,-737.172948
389,660,-736.885946
390,615,-736.598944
391,586,-736.311942
392,583,-736.02494
393,598,-735.737938
394,571,-735.450936
395,577,-735.163934
396,597,-734.876932
397,593,-734.58993
398,591,-734.302928
399,574,-734.015926
400,568,-733.728924
401,540,-733.441922
402,610,-733.15492
403,573,-732.867918
404,574,-732.580916
405,528,-732.293914
406,593,-732.006912
407,577,-731.71991
408,592,-731.432908
409,563,-731.145906
410,585,-730.8589039999999
411,577,-730.571902
412,583,-730.2849
413,587,-729.997898
414,536,-729.710896
415,545,-729.423894
416,574,-729.136892
417,587,-728.84989
418,554,-728.562888
419,593,-728.275886
420,600,-727.988884
421,549,-727.701882
422,542,-727.41488
423,545,-727.127878
424,529,-726.840876
425,508,-726.553874
426,572,-726.266872
427,571,-725.97987
428,552,-725.692868
429,562,-725.4058660000001
430,555,-725.118864
431,563,-724.831862
432,514,-724.54486
433,510,-724.2578579999999
434,528,-723.970856
435,540,-723.683854
436,610,-723.396852
437,566,-723.10985
438,569,-722.822848
439,551,-722.535846
440,547,-722.248844
441,557,-721.9618419999999
442,526,-721.67484
443,545,-721.387838
444,581,-721.100836
445,527,-720.813834
446,563,-720.526832
447,529,-720.23983
448,532,-719.952828
449,540,-719.665826
450,541,-719.378824
451,570,-719.091822
452,604,-718.8048200000001
453,566,-718.517818
454,569,-718.230816
455,618,-717.943814
456,560,-717.656812
457,555,-717.36981
458,551,-717.082808
459,577,-716.795806
460,580,-716.508804
461,565,-716.221802
462,577,-715.9348
463,526,-715.647798
464,535,-715.3607959999999
465,550,-715.073794
466,583,-714.786792
467,546,-714.49979
468,566,-714.212788
469,557,-713.925786
470,581,-713.638784
471,601,-713.351782
472,563,-713.0647799999999
473,578,-712.777778
474,566,-712.490776
475,541,-712.2037740000001
476,552,-711.916772
477,542,-711.62977
478,571,-711.342768
479,524,-711.055766
480,569,-710.768764
481,598,-710.481762
482,570,-710.19476
483,555,-709.9077580000001
484,582,-709.620756
485,589,-709.333754
486,611,-709.046752
487,583,-708.7597499999999
488,585,-708.472748
489,581,-708.185746
490,582,-707.898744
491,573,-707.611742
492,582,-707.32474
493,559,-707.037738
494,590,-706.750736
495,546,-706.4637339999999
496,578,-706.176732
497,568,-705.88973
498,597,-705.602728
499,621,-705.315726
500,569,-705.028724
501,594,-704.741722
502,588,-704.45472
503,569,-704.167718
504,647,-703.880716
505,608,-703.593714
506,602,-703.3067120000001
507,603,-703.01971
508,591,-702.732708
509,600,-702.445706
510,626,-702.158704
511,594,-701.871702
512,581,-701.5847
513,632,-701.297698
514,564,-701.010696
515,588,-700.723694
516,561,-700.436692
517,581,-700.14969
518,583,-699.8626879999999
519,542,-699.575686
520,645,-699.288684
521,589,-699.001682
522,604,-698.71468
523,573,-698.427678
524,563,-698.140676
525,625,-697.853674
526,571,-697.566672
527,586,-697.27967
528,577,-696.992668
529,577,-696.7056660000001
530,625,-696.418664
531,646,-696.131662
532,578,-695.84466
533,583,-695.557658
534,610,-695.270656
535,581,-694.983654
536,617,-694.696652
537,635,-694.40965
538,581,-694.122648
539,605,-693.835646
540,620,-693.548644
541,623,-693.2616419999999
542,601,-692.97464
543,610,-692.687638
544,630,-692.400636
545,628,-692.113634
546,574,-691.826632
547,641,-691.53963
548,545,-691.252628
549,603,-690.9656259999999
550,608,-690.678624
551,623,-690.391622
552,599,-690.1046200000001
553,656,-689.817618
554,579,-689.530616
555,584,-689.243614
556,659,-688.956612
557,573,-688.66961
558,650,-688.382608
559,599,-688.095606
560,619,-687.8086040000001
561,668,-687.521602
562,632,-687.2346
563,577,-686.947598
564,600,-686.6605959999999
565,631,-686.373594
566,613,-686.086592
567,609,-685.79959
568,569,-685.512588
569,634,-685.225586
570,634,-684.938584
571,618,-684.651582
572,615,-684.3645799999999
573,641,-684.077578
574,601,-683.790576
575,650,-683.503574
576,618,-683.216572
577,637,-682.92957
578,640,-682.642568
579,663,-682.355566
580,610,-682.068564
581,639,-681.781562
582,634,-681.49456
583,688,-681.2075580000001
584,641,-680.920556
585,684,-680.633554
586,678,-680.346552
587,665,-680.05955
588,661,-679.772548
589,654,-679.485546
590,651,-679.198544
591,707,-678.911542
592,650,-678.62454
593,658,-678.337538
594,703,-678.050536
595,683,-677.7635339999999
596,633,-677.476532
597,692,-677.18953
598,693,-676.902528
599,699,-676.615526
600,673,-676.328524
601,659,-676.041522
602,693,-675.75452
603,705,-675.467518
604,714,-675.180516
605,716,-674.893514
606,751,-674.6065120000001
607,663,-674.31951
608,747,-674.032508
609,723,-673.745506
610,719,-673.458504
611,739,-673.171502
612,720,-672.8845
613,692,-672.597498
614,745,-672.3104960000001
615,746,-672.023494
616,792,-671.736492
617,747,-671.44949
618,746,-671.1624879999999
619,693,-670.875486
620,775,-670.588484
621,736,-670.301482
622,785,-670.01448
623,776,-669.727478
624,751,-669.440476
625,784,-669.153474
626,769,-668.8664719999999
627,740,-668.57947
628,787,-668.292468
629,816,-668.0054660000001
630,795,-667.718464
631,800,-667.431462
632,808,-667.14446
633,801,-666.857458
634,795,-666.570456
635,808,-666.283454
636,841,-665.996452
637,820,-665.7094500000001
638,854,-665.422448
639,815,-665.135446
640,770,-664.848444
641,828,-664.5614419999999
642,855,-664.27444
643,817,-663.987438
644,842,-663.700436
645,805,-663.413434
646,874,-663.126432
647,860,-662.83943
648,897,-662.552428
649,868,-662.2654259999999
650,802,-661.978424
651,899,-661.691422
652,836,-661.40442
653,915,-661.117418
654,931,-660.830416
655,913,-660.543414
656,873,-660.256412
657,955,-659.96941
658,889,-659.682408
659,896,-659.395406
660,883,-659.1084040000001
661,936,-658.821402
662,911,-658.5344
663,931,-658.247398
664,913,-657.960396
665,924,-657.673394
666,903,-657.386392
667,986,-657.09939
668,940,-656.812388
669,913,-656.525386
670,949,-656.238384
671,956,-655.951382
672,976,-655.6643799999999
673,908,-655.377378
674,990,-655.090376
675,943,-654.803374
676,987,-654.516372
677,998,-654.22937
678,964,-653.942368
679,993,-653.655366
680,960,-653.368364
681,993,-653.081362
682,980,-652.79436
683,996,-652.5073580000001
684,975,-652.220356
685,1040,-651.933354
686,954,-651.646352
687,1023,-651.35935
688,1047,-651.072348
689,1040,-650.785346
690,984,-650.498344
691,1128,-650.2113420000001
692,1022,-649.92434
693,1136,-649.637338
694,1019,-649.350336
695,1096,-649.0633339999999
696,1093,-648.776332
697,1074,-648.48933
698,1067,-648.202328
699,1060,-647.915326
700,1055,-647.628324
701,1062,-647.341322
702,1085,-647.05432
703,1098,-646.7673179999999
704,1118,-646.480316
705,1058,-646.193314
706,1125,-645.9063120000001
707,1121,-645.61931
708,1115,-645.332308
709,1075,-645.045306
710,1189,-644.758304
711,1111,-644.471302
712,1091,-644.1843
713,1266,-643.897298
714,1176,-643.6102960000001
715,1094,-643.323294
716,1180,-643.036292
717,1187,-642.74929
718,1210,-642.462288
719,1167,-642.175286
720,1221,-641.888284
721,1198,-641.601282
722,1226,-641.31428
723,1213,-641.027278
724,1246,-640.740276
725,1267,-640.453274
726,1248,-640.1662719999999
727,1219,-639.87927
728,1199,-639.592268
729,1204,-639.305266
730,1259,-639.018264
731,1244,-638.731262
732,1284,-638.44426
733,1250,-638.157258
734,1210,-637.870256
735,1261,-637.583254
736,1317,-637.296252
737,1261,-637.0092500000001
738,1256,-636.722248
739,1277,-636.435246
740,1296,-636.148244
741,1285,-635.861242
742,1296,-635.57424
743,1325,-635.287238
744,1401,-635.000236
745,1384,-634.713234
746,1323,-634.426232
747,1346,-634.13923
748,1312,-633.852228
749,1384,-633.5652259999999
750,1343,-633.278224
751,1370,-632.991222
752,1395,-632.70422
753,1327,-632.417218
754,1338,-632.130216
755,1386,-631.843214
756,1340,-631.556212
757,1391,-631.26921
758,1449,-630.982208
759,1463,-630.695206
760,1433,-630.4082040000001
761,1424,-630.121202
762,1365,-629.8342
763,1420,-629.547198
764,1471,-629.260196
765,1457,-628.973194
766,1385,-628.686192
767,1490,-628.39919
768,1537,-628.1121880000001
769,1504,-627.825186
770,1504,-627.538184
771,1493,-627.251182
772,1516,-626.9641799999999
773,1559,-626.677178
774,1621,-626.390176
775,1504,-626.103174
776,1550,-625.816172
777,1577,-625.52917
778,1604,-625.242168
779,1653,-624.955166
780,1539,-624.6681639999999
781,1562,-624.381162
782,1512,-624.09416
783,1650,-623.8071580000001
784,1594,-623.520156
785,1666,-623.233154
786,1650,-622.946152
787,1628,-622.65915
788,1610,-622.372148
789,1619,-622.085146
790,1636,-621.798144
791,1606,-621.5111420000001
