Time,Count,Energy (keV)
311,15,-759.272102
312,19,-758.9851
313,24,-758.698098
314,10,-758.411096
315,27,-758.124094
316,18,-757.837092
317,29,-757.55009
318,10,-757.263088
319,28,-756.976086
320,16,-756.689084
321,17,-756.402082
322,22,-756.11508
323,15,-755.828078
324,11,-755.541076
325,19,-755.254074
326,21,-754.967072
327,21,-754.68007
328,12,-754.393068
329,18,-754.106066
330,16,-753.819064
331,22,-753.532062
332,20,-753.24506
333,18,-752.9580579999999
334,19,-752.671056
335,18,-752.384054
336,21,-752.097052
337,20,-751.81005
338,13,-751.523048
339,15,-751.236046
340,18,-750.949044
341,17,-750.662042
342,19,-750.37504
343,17,-750.088038
344,11,-749.801036
345,24,-749.514034
346,19,-749.227032
347,19,-748.94003
348,21,-748.653028
349,9,-748.366026
350,25,-748.079024
351,16,-747.792022
352,21,-747.5050200000001
353,20,-747.218018
354,21,-746.931016
355,18,-746.644014
356,23,-746.3570119999999
357,15,-746.07001
358,14,-745.783008
359,17,-745.496006
360,16,-745.209004
361,9,-744.922002
362,23,-744.635
363,23,-744.347998
364,18,-744.0609959999999
365,26,-743.773994
366,25,-743.486992
367,17,-743.19999
368,30,-742.912988
369,19,-742.625986
370,29,-742.338984
371,19,-742.051982
372,16,-741.76498
373,21,-741.477978
374,24,-741.190976
375,17,-740.903974
376,15,-740.616972
377,25,-740.32997
378,16,-740.042968
379,19,-739.755966
380,21,-739.468964
381,17,-739.181962
382,19,-738.89496
383,20,-738.607958
384,12,-738.320956
385,27,-738.033954
386,24,-737.746952
387,22,-737.4599499999999
388,21,-737.172948
389,17,-736.885946
390,22,-736.598944
391,22,-736.311942
392,18,-736.02494
393,18,-735.737938
394,19,-735.450936
395,12,-735.163934
396,29,-734.876932
397,25,-734.58993
398,18,-734.302928
399,18,-734.015926
400,21,-733.728924
401,24,-733.441922
402,17,-733.15492
403,17,-732.867918
404,21,-732.580916
405,24,-732.293914
406,25,-732.006912
407,31,-731.71991
408,21,-731.432908
409,20,-731.145906
410,19,-730.8589039999999
411,23,-730.571902
412,26,-730.2849
413,23,-729.997898
414,28,-729.710896
415,22,-729.423894
416,19,-729.136892
417,18,-728.84989
418,35,-728.562888
419,16,-728.275886
420,19,-727.988884
421,28,-727.701882
422,26,-727.41488
423,24,-727.127878
424,26,-726.840876
425,18,-726.553874
426,20,-726.266872
427,27,-725.97987
428,15,-725.692868
429,28,-725.4058660000001
430,19,-725.118864
431,16,-724.831862
432,14,-724.54486
433,29,-724.2578579999999
434,26,-723.970856
435,24,-723.683854
436,20,-723.396852
437,21,-723.10985
438,26,-722.822848
439,31,-722.535846
440,23,-722.248844
441,28,-721.9618419999999
442,16,-721.67484
443,25,-721.387838
444,13,-721.100836
445,18,-720.813834
446,22,-720.526832
447,22,-720.23983
448,22,-719.952828
449,15,-719.665826
450,14,-719.378824
451,18,-719.091822
452,17,-718.8048200000001
453,15,-718.517818
454,22,-718.230816
455,24,-717.943814
456,17,-717.656812
457,16,-717.36981
458,25,-717.082808
459,16,-716.795806
460,22,-716.508804
461,19,-716.221802
462,16,-715.9348
463,24,-715.647798
464,20,-715.3607959999999
465,25,-715.073794
466,24,-714.786792
467,21,-714.49979
468,21,-714.212788
469,25,-713.925786
470,22,-713.638784
471,20,-713.351782
472,18,-713.0647799999999
473,21,-712.777778
474,17,-712.490776
475,21,-712.2037740000001
476,21,-711.916772
477,20,-711.62977
478,20,-711.342768
479,28,-711.055766
480,14,-710.768764
481,29,-710.481762
482,21,-710.19476
483,20,-709.9077580000001
484,29,-709.620756
485,19,-709.333754
486,27,-709.046752
487,20,-708.7597499999999
488,21,-708.472748
489,17,-708.185746
490,19,-707.898744
491,17,-707.611742
492,23,-707.32474
493,21,-707.037738
494,19,-706.750736
495,21,-706.4637339999999
496,14,-706.176732
497,20,-705.88973
498,14,-705.602728
499,16,-705.315726
500,19,-705.028724
501,14,-704.741722
502,24,-704.45472
503,36,-704.167718
504,22,-703.880716
505,24,-703.593714
506,20,-703.3067120000001
507,20,-703.01971
508,15,-702.732708
509,19,-702.445706
510,13,-702.158704
511,25,-701.871702
512,23,-701.5847
513,20,-701.297698
514,26,-701.010696
515,31,-700.723694
516,19,-700.436692
517,21,-700.14969
518,20,-699.8626879999999
519,19,-699.575686
520,20,-699.288684
521,14,-699.001682
522,35,-698.71468
523,15,-698.427678
524,25,-698.140676
525,18,-697.853674
526,17,-697.566672
527,26,-697.27967
528,24,-696.992668
529,21,-696.7056660000001
530,25,-696.418664
531,24,-696.131662
532,26,-695.84466
533,13,-695.557658
534,14,-695.270656
535,18,-694.983654
536,25,-694.696652
537,20,-694.40965
538,20,-694.122648
539,25,-693.835646
540,19,-693.548644
541,20,-693.2616419999999
542,23,-692.97464
543,24,-692.687638
544,30,-692.400636
545,21,-692.113634
546,20,-691.826632
547,21,-691.53963
548,34,-691.252628
549,28,-690.9656259999999
550,19,-690.678624
551,22,-690.391622
552,26,-690.1046200000001
553,17,-689.817618
554,19,-689.530616
555,22,-689.243614
556,18,-688.956612
557,19,-688.66961
558,22,-688.382608
559,20,-688.095606
560,20,-687.8086040000001
561,27,-687.521602
562,31,-687.2346
563,17,-686.947598
564,27,-686.6605959999999
565,15,-686.373594
566,17,-686.086592
567,22,-685.79959
568,18,-685.512588
569,19,-685.225586
570,18,-684.938584
571,22,-684.651582
572,20,-684.3645799999999
573,23,-684.077578
574,23,-683.790576
575,31,-683.503574
576,17,-683.216572
577,20,-682.92957
578,12,-682.642568
579,22,-682.355566
580,18,-682.068564
581,24,-681.781562
582,26,-681.49456
583,19,-681.2075580000001
584,27,-680.920556
585,22,-680.633554
586,29,-680.346552
587,12,-680.05955
588,26,-679.772548
589,12,-679.485546
590,15,-679.198544
