Time,Count,Energy (keV)
310,1007,-759.5591039999999
311,921,-759.272102
312,1072,-758.9851
313,1042,-758.698098
314,1131,-758.411096
315,1210,-758.124094
316,1233,-757.837092
317,1217,-757.55009
318,1331,-757.263088
319,1385,-756.976086
320,1438,-756.689084
321,1450,-756.402082
322,1561,-756.11508
323,1567,-755.828078
324,1722,-755.541076
325,1732,-755.254074
326,1831,-754.967072
327,1880,-754.68007
328,1966,-754.393068
329,2096,-754.106066
330,2034,-753.819064
331,2285,-753.532062
332,2476,-753.24506
333,2414,-752.9580579999999
334,2558,-752.671056
335,2656,-752.384054
336,2849,-752.097052
337,2833,-751.81005
338,3103,-751.523048
339,3174,-751.236046
340,3347,-750.949044
341,3417,-750.662042
342,3617,-750.37504
343,3745,-750.088038
344,3867,-749.801036
345,4052,-749.514034
346,4142,-749.227032
347,4285,-748.94003
348,4639,-748.653028
349,4710,-748.366026
350,4885,-748.079024
351,4858,-747.792022
352,5162,-747.5050200000001
353,5397,-747.218018
354,5518,-746.931016
355,5874,-746.644014
356,6024,-746.3570119999999
357,6202,-746.07001
358,6464,-745.783008
359,6502,-745.496006
360,6782,-745.209004
361,7027,-744.922002
362,7022,-744.635
363,7413,-744.347998
364,7663,-744.0609959999999
365,7827,-743.773994
366,7803,-743.486992
367,8142,-743.19999
368,8468,-742.912988
369,8683,-742.625986
370,8956,-742.338984
371,9071,-742.051982
372,9354,-741.76498
373,9452,-741.477978
374,9695,-741.190976
375,9882,-740.903974
376,10201,-740.616972
377,10372,-740.32997
378,10510,-740.042968
379,10583,-739.755966
380,10800,-739.468964
381,11123,-739.181962
382,11072,-738.89496
383,11235,-738.607958
384,11445,-738.320956
385,11405,-738.033954
386,11506,-737.746952
387,11595,-737.4599499999999
388,11842,-737.172948
389,12039,-736.885946
390,12277,-736.598944
391,12244,-736.311942
392,12220,-736.02494
393,12444,-735.737938
394,12348,-735.450936
395,12231,-735.163934
396,12245,-734.876932
397,12548,-734.58993
398,12286,-734.302928
399,12086,-734.015926
400,12191,-733.728924
401,12152,-733.441922
402,12244,-733.15492
403,12176,-732.867918
404,12048,-732.580916
405,11998,-732.293914
406,11946,-732.006912
407,11910,-731.71991
408,11690,-731.432908
409,11555,-731.145906
410,11513,-730.8589039999999
411,11363,-730.571902
412,11108,-730.2849
413,11466,-729.997898
414,11061,-729.710896
415,10968,-729.423894
416,10760,-729.136892
417,10512,-728.84989
418,10498,-728.562888
419,9978,-728.275886
420,9982,-727.988884
421,9896,-727.701882
422,9788,-727.41488
423,9515,-727.127878
424,9338,-726.840876
425,9257,-726.553874
426,8791,-726.266872
427,8827,-725.97987
428,8462,-725.692868
429,8275,-725.4058660000001
430,8200,-725.118864
431,7916,-724.831862
432,7950,-724.54486
433,7724,-724.2578579999999
434,7258,-723.970856
435,7344,-723.683854
436,6863,-723.396852
437,6930,-723.10985
438,6791,-722.822848
439,6618,-722.535846
440,6331,-722.248844
441,6128,-721.9618419999999
442,5989,-721.67484
443,5758,-721.387838
444,5730,-721.100836
445,5490,-720.813834
446,5302,-720.526832
447,5201,-720.23983
448,4851,-719.952828
449,4806,-719.665826
450,4785,-719.378824
451,4599,-719.091822
452,4386,-718.8048200000001
453,4280,-718.517818
454,4113,-718.230816
455,3987,-717.943814
456,3868,-717.656812
457,3844,-717.36981
458,3631,-717.082808
459,3458,-716.795806
460,3592,-716.508804
461,3342,-716.221802
462,3188,-715.9348
463,3036,-715.647798
464,3094,-715.3607959999999
465,3023,-715.073794
466,2763,-714.786792
467,2826,-714.49979
468,2691,-714.212788
469,2524,-713.925786
470,2574,-713.638784
471,2399,-713.351782
472,2318,-713.0647799999999
473,2266,-712.777778
474,2122,-712.490776
475,2128,-712.2037740000001
476,2017,-711.916772
477,1907,-711.62977
478,1761,-711.342768
479,1798,-711.055766
480,1794,-710.768764
481,1695,-710.481762
482,1676,-710.19476
483,1546,-709.9077580000001
484,1527,-709.620756
485,1498,-709.333754
486,1410,-709.046752
487,1383,-708.7597499999999
488,1344,-708.472748
489,1315,-708.185746
490,1213,-707.898744
491,1210,-707.611742
492,1113,-707.32474
493,1032,-707.037738
494,1110,-706.750736
495,996,-706.4637339999999
496,1002,-706.176732
497,926,-705.88973
498,895,-705.602728
499,906,-705.315726
500,835,-705.028724
501,802,-704.741722
502,811,-704.45472
503,757,-704.167718
504,706,-703.880716
505,650,-703.593714
506,639,-703.3067120000001
507,636,-703.01971
508,607,-702.732708
509,599,-702.445706
510,610,-702.158704
511,509,-701.871702
512,532,-701.5847
513,507,-701.297698
514,535,-701.010696
515,471,-700.723694
516,426,-700.436692
517,420,-700.14969
518,409,-699.8626879999999
519,422,-699.575686
520,383,-699.288684
521,393,-699.001682
522,365,-698.71468
523,358,-698.427678
524,360,-698.140676
525,321,-697.853674
526,335,-697.566672
527,322,-697.27967
528,323,-696.992668
529,305,-696.7056660000001
530,308,-696.418664
531,279,-696.131662
532,294,-695.84466
533,282,-695.557658
534,324,-695.270656
535,282,-694.983654
536,253,-694.696652
537,268,-694.40965
538,236,-694.122648
539,270,-693.835646
540,244,-693.548644
541,241,-693.2616419999999
542,200,-692.97464
543,243,-692.687638
544,202,-692.400636
545,261,-692.113634
546,230,-691.826632
547,249,-691.53963
548,242,-691.252628
549,233,-690.9656259999999
550,263,-690.678624
551,235,-690.391622
552,247,-690.1046200000001
553,246,-689.817618
554,211,-689.530616
555,221,-689.243614
556,237,-688.956612
557,214,-688.66961
558,205,-688.382608
559,198,-688.095606
560,254,-687.8086040000001
561,226,-687.521602
562,220,-687.2346
563,234,-686.947598
564,226,-686.6605959999999
565,228,-686.373594
566,225,-686.086592
567,223,-685.79959
568,237,-685.512588
569,224,-685.225586
570,219,-684.938584
571,228,-684.651582
572,252,-684.3645799999999
573,247,-684.077578
574,236,-683.790576
575,230,-683.503574
576,255,-683.216572
577,245,-682.92957
578,236,-682.642568
579,262,-682.355566
580,257,-682.068564
581,258,-681.781562
582,285,-681.49456
583,259,-681.2075580000001
584,243,-680.920556
585,248,-680.633554
586,235,-680.346552
587,257,-680.05955
588,272,-679.772548
589,283,-679.485546
590,278,-679.198544
591,264,-678.911542
592,248,-678.62454
593,255,-678.337538
594,259,-678.050536
595,262,-677.7635339999999
596,274,-677.476532
597,246,-677.18953
598,263,-676.902528
599,294,-676.615526
600,273,-676.328524
601,288,-676.041522
602,271,-675.75452
603,304,-675.467518
604,292,-675.180516
605,329,-674.893514
606,276,-674.6065120000001
607,303,-674.31951
608,309,-674.032508
609,332,-673.745506
610,328,-673.458504
611,328,-673.171502
612,325,-672.8845
613,330,-672.597498
614,338,-672.3104960000001
615,335,-672.023494
616,319,-671.736492
617,335,-671.44949
618,342,-671.1624879999999
619,356,-670.875486
620,318,-670.588484
621,336,-670.301482
622,366,-670.01448
623,354,-669.727478
624,367,-669.440476
625,355,-669.153474
626,333,-668.8664719999999
627,362,-668.57947
628,384,-668.292468
629,365,-668.0054660000001
630,402,-667.718464
631,378,-667.431462
632,394,-667.14446
633,354,-666.857458
634,406,-666.570456
635,385,-666.283454
636,403,-665.996452
637,406,-665.7094500000001
638,396,-665.422448
639,416,-665.135446
640,409,-664.848444
641,394,-664.5614419999999
642,412,-664.27444
643,421,-663.987438
644,418,-663.700436
645,455,-663.413434
646,430,-663.126432
647,405,-662.83943
648,441,-662.552428
649,480,-662.2654259999999
650,414,-661.978424
651,438,-661.691422
652,417,-661.40442
653,484,-661.117418
654,465,-660.830416
655,467,-660.543414
656,442,-660.256412
657,456,-659.96941
658,431,-659.682408
659,467,-659.395406
660,471,-659.1084040000001
661,490,-658.821402
662,512,-658.5344
663,469,-658.247398
664,463,-657.960396
665,477,-657.673394
666,451,-657.386392
667,505,-657.09939
668,496,-656.812388
669,503,-656.525386
670,496,-656.238384
671,469,-655.951382
672,510,-655.6643799999999
673,458,-655.377378
674,487,-655.090376
675,503,-654.803374
676,493,-654.516372
677,485,-654.22937
678,534,-653.942368
679,477,-653.655366
680,519,-653.368364
681,528,-653.081362
682,517,-652.79436
683,487,-652.5073580000001
684,491,-652.220356
685,486,-651.933354
686,533,-651.646352
687,519,-651.35935
688,508,-651.072348
689,508,-650.785346
690,507,-650.498344
691,500,-650.2113420000001
692,478,-649.92434
693,527,-649.637338
694,517,-649.350336
695,532,-649.0633339999999
696,545,-648.776332
697,508,-648.48933
698,478,-648.202328
699,538,-647.915326
700,458,-647.628324
701,520,-647.341322
702,522,-647.05432
703,448,-646.7673179999999
704,451,-646.480316
705,525,-646.193314
706,511,-645.9063120000001
707,465,-645.61931
708,482,-645.332308
709,470,-645.045306
710,476,-644.758304
711,473,-644.471302
712,473,-644.1843
713,519,-643.897298
714,447,-643.6102960000001
715,424,-643.323294
716,445,-643.036292
717,455,-642.74929
718,425,-642.462288
719,416,-642.175286
720,413,-641.888284
721,487,-641.601282
722,423,-641.31428
723,468,-641.027278
724,456,-640.740276
725,431,-640.453274
726,448,-640.1662719999999
727,423,-639.87927
728,410,-639.592268
729,421,-639.305266
730,404,-639.018264
731,376,-638.731262
732,395,-638.44426
733,401,-638.157258
734,374,-637.870256
735,428,-637.583254
736,405,-637.296252
737,423,-637.0092500000001
738,383,-636.722248
739,357,-636.435246
740,390,-636.148244
741,415,-635.861242
742,394,-635.57424
743,441,-635.287238
744,379,-635.000236
745,369,-634.713234
746,363,-634.426232
747,350,-634.13923
748,364,-633.852228
749,354,-633.5652259999999
750,368,-633.278224
751,351,-632.991222
752,366,-632.70422
753,362,-632.417218
754,369,-632.130216
755,349,-631.843214
756,351,-631.556212
757,373,-631.26921
758,346,-630.982208
759,356,-630.695206
760,311,-630.4082040000001
761,340,-630.121202
762,370,-629.8342
763,338,-629.547198
764,321,-629.260196
765,308,-628.973194
766,340,-628.686192
767,328,-628.39919
768,355,-628.1121880000001
769,312,-627.825186
770,325,-627.538184
771,305,-627.251182
772,314,-626.9641799999999
773,338,-626.677178
774,313,-626.390176
775,309,-626.103174
